seed,fold,chi2_pbuf,chi2_lcdm,delta_chi2
342,3,946.0076483308783,1211.6528381685944,265.6451898377161
342,4,946.0076600943828,1211.6528381685944,265.6451780742116
342,5,946.0076116081558,1211.6528381685944,265.6452265604386
342,6,946.0094931973451,1211.6528381685944,265.64334497124923
342,7,946.0076462901407,1211.6528381685944,265.6451918784537
342,8,946.0076735878887,1211.6528381685944,265.6451645807057
342,9,946.007578186447,1211.6528381685944,265.6452599821474
342,10,946.0075803223922,1211.6528381685944,265.6452578462022
342,11,946.0079865554209,1211.6528381685944,265.6448516131735
342,12,946.009078517526,1211.6528381685944,265.6437596510684
342,13,946.0076378402882,1211.6528381685944,265.64520032830615
342,14,946.0076064803673,1211.6528381685944,265.6452316882271
342,15,946.0075868123005,1211.6528381685944,265.6452513562939
342,16,946.0075871868781,1211.6528381685944,265.64525098171623
342,17,946.0076650710339,1211.6528381685944,265.6451730975605
342,18,946.0083667590967,1211.6528381685944,265.64447140949767
342,19,946.0080347587817,1211.6528381685944,265.64480340981265
342,20,946.0082244037537,1211.6528381685944,265.64461376484064
342,21,946.0078036912664,1211.6528381685944,265.64503447732795
342,22,946.0076038220403,1211.6528381685944,265.64523434655405
342,23,946.0076239898258,1211.6528381685944,265.6452141787686
342,24,946.0076021164332,1211.6528381685944,265.6452360521612
342,25,946.0075901810841,1211.6528381685944,265.6452479875103
342,26,946.0079508743436,1211.6528381685944,265.6448872942508
342,27,946.0075872819344,1211.6528381685944,265.64525088665994
342,28,946.0117338794095,1211.6528381685944,265.6411042891849
342,29,946.0075813205682,1211.6528381685944,265.6452568480262
442,0,946.007589774128,1211.6528381685944,265.6452483944664
442,1,946.0075954214906,1211.6528381685944,265.6452427471038
442,2,946.0077592581719,1211.6528381685944,265.6450789104225
442,3,946.0075924020427,1211.6528381685944,265.6452457665516
442,4,946.0075694480224,1211.6528381685944,265.64526872057195
442,5,946.0078125108736,1211.6528381685944,265.6450256577208
442,6,946.0085120580063,1211.6528381685944,265.64432611058805
442,7,946.007842690599,1211.6528381685944,265.6449954779954
442,8,946.007686299803,1211.6528381685944,265.64515186879134
442,9,946.0078691151293,1211.6528381685944,265.64496905346505
442,10,946.0075707173143,1211.6528381685944,265.6452674512801
442,11,946.0077332961575,1211.6528381685944,265.64510487243683
442,12,946.0079142044785,1211.6528381685944,265.64492396411583
442,13,946.0076122653803,1211.6528381685944,265.64522590321405
442,14,946.0077158826524,1211.6528381685944,265.64512228594197
442,15,946.0098392960281,1211.6528381685944,265.6429988725663
442,16,946.0091411724475,1211.6528381685944,265.6436969961469
442,17,946.0097517322646,1211.6528381685944,265.6430864363298
442,18,946.0076097838925,1211.6528381685944,265.6452283847019
442,19,946.0082664711089,1211.6528381685944,265.6445716974855
442,20,946.0075880876086,1211.6528381685944,265.64525008098576
442,21,946.0076792212792,1211.6528381685944,265.64515894731517
442,22,946.0076356590022,1211.6528381685944,265.6452025095922
442,23,946.0079819843409,1211.6528381685944,265.6448561842535
442,24,946.0076822073198,1211.6528381685944,265.64515596127455
442,25,946.0084895311761,1211.6528381685944,265.64434863741826
442,26,946.0075924643439,1211.6528381685944,265.64524570425044
